node_1,node_2,edge
Graph Transformer (GT),Message Passing Neural Network (MPNN),GT can approximate MPNN arbitrarily well with proper position embedding
MPNN with virtual node (VN),Graph Transformer (GT),MPNN + VN can approximate the self-attention layer of GT
MPNN + VN,Performer/Linear Transformer,MPNN + VN with O(1) depth and O(1) width can approximate a self-attention layer in Performer/Linear Transformer
MPNN + VN,DeepSets,Connection between MPNN + VN and DeepSets used to prove approximation capability
MPNN + VN,self-attention layer,MPNN + VN with O(nd) width and O(1) depth can approximate the self-attention layer arbitrarily well
MPNN + VN,self-attention layer in GT,MPNN + VN with O(1) width and O(n) depth can approximate the self-attention layer in GT arbitrarily well under assumptions
self-attention layer,Graph Transformer (GT),component of
MPNN + VN,Graph Transformer (GT),outperforms on Long Range Graph Benchmark (LRGB)
MPNN + VN,OGB datasets,improves over early implementation on
MPNN + VN,Linear Transformer,outperforms on climate modeling task
MPNN + VN,MPNN,outperforms on climate modeling task
MPNN,graph-structured data,processes
Graph Transformer (GT),position embedding,uses for performance
MPNN,sparsity pattern,imposes on computation graph
MPNN,linear complexity,has
MPNN,sparsity pattern,imposes
MPNN,linear complexity,enjoys
MPNN,over-smoothing,suffers from
MPNN,over-squashing,suffers from
over-smoothing,long-range modeling tasks,limits usage on
over-squashing,long-range modeling tasks,limits usage on
GT,position embedding,relies on
GT,vanilla transformers,uses
GT,all pairwise interactions,models directly
GT,quadratic complexity,has
GT,long-range interaction,shows promising results on
MPNN,GT,challenged by
