node_1,node_2,edge
Large Language Models (LLMs),abstract knowledge about world's physics,captures
Large Language Models (LLMs),decision-making problems,used to solve
LLMs' knowledge,environment,can be misaligned
GLAM,functional grounding,achieves alignment through
GLAM,LLM as a policy,uses
agent,environment,interacts with
online Reinforcement Learning,agent's performance,improves
interactive textual environment,higher-level forms of functional grounding,designed to study
LLMs,sample efficiency,can boost
online learning,generalization,boosts different forms of
FLAN-T5,GLAM,functionally grounded in
Large Language Models (LLMs),Natural Language Processing,trained on massive text datasets in
Large Language Models (LLMs),impressive capabilities,exhibits
impressive capabilities,natural language generation,includes
impressive capabilities,question answering,includes
impressive capabilities,reasoning,includes
impressive capabilities,translation,includes
Large Language Models (LLMs),physical rules,captures aspects of
physical rules,space,includes knowledge about
physical rules,colors,includes knowledge about
physical rules,affordances between bodies and objects,includes knowledge about
prior knowledge,plans of action,exploited to suggest
plans of action,robotics,used to solve goals in
Large Language Models (LLMs),lack of grounding,suffers from
lack of grounding,meaning of inter-related concepts,prevents dealing with
lack of grounding,functional competence in interactive environments,prevents use for
alignment,statistical structures in LLMs,between
alignment,environments,can be very limited
LLMs,environments,alignment between statistical structures can be limited or wrong
training process,LLMs,"predicts next words, not directly incentivized to solve problems in environment"
LLMs,environment,lack abilities to intervene to identify causal structures
LLMs,environment,lack abilities to learn from data collected via interaction
language grounding,symbol grounding,refers to related objectives
symbol grounding,environment,connects symbol system to environment for appropriate action
direct grounding,elementary symbols,associates names of objects with invariant structures in perceptual modalities
direct grounding,vision,studied in context of high-dimensional perceptual modalities
higher-order symbolic tokens,grounding,another dimension of language grounding
