node_1,node_2,edge
density estimation,"distributions v1, ..., vk",estimates which of the given distributions is close to p
density estimation,distribution p,uses samples from p to find a close vi
data structure,density estimation,solves the density estimation problem with sublinear sample and time complexity
sublinear samples,distribution p,number of samples from p is sublinear in domain size n
sublinear time,identification of vi,time to identify vi is sublinear in k
proper case,density estimation,assumes p equals some vj
improper case,density estimation,"p is arbitrary, goal is approximate closeness to best vi"
algorithm of Acharya et al. 2018,density estimation,reports vi in time linear in k
experimental evaluation,algorithm of Acharya et al. 2018,shows reduction in operations for given accuracy
improper density estimation,error parameter ε,uses
improper density estimation,constant C,uses
improper density estimation,samples,requires
improper density estimation,time complexity,has
Scheffe,improper density estimation,studied
Yatracos,improper density estimation,studied
Devroye-Lugosi,improper density estimation,studied
Acharya et al,improper density estimation,improved time complexity
O(log(k)/ε^2) samples,improper density estimation,sufficient for
O(k^2 log(k)/ε^2) time,improper density estimation,initial time complexity
O(k log(k)/ε^2) time,improper density estimation,improved time complexity
improper density estimation,mixtures of Gaussians,applies to
mixtures of Gaussians,Daskalakis & Kamath,studied by
mixtures of Gaussians,Suresh et al,studied by
mixtures of Gaussians,Diakonikolas et al,studied by
mixtures of Gaussians,Daskalakis & Kamath (2014),cited in
mixtures of Gaussians,Suresh et al. (2014),cited in
mixtures of Gaussians,Diakonikolas et al. (2019),cited in
mixtures of Gaussians,"survey (Diakonikolas, 2016)",referenced in
method,privacy,extended to enable
privacy,Canonne et al. (2019),cited in
privacy,Bun et al. (2019),cited in
privacy,Gopi et al. (2020),cited in
privacy,Kamath et al. (2020),cited in
domain U,discrete set of size n,is a
problem,approximate nearest neighbor search,viewed as a variant of
approximate nearest neighbor search,n-dimensional vectors under L1 norm,over
approximate nearest neighbor search,Andoni et al. (2018),studied in
C-approximate nearest neighbor search,"set of k distributions v1,...,vk",given
C-approximate nearest neighbor search,data structure,builds
data structure,query distribution p,returns vi for
density estimation problem,query distribution p,"not specified fully, given samples from"
density estimation problem,computational resources,involves
density estimation problem,statistical resource,involves
computational resources,data structure space,includes
computational resources,query time,includes
statistical resource,number of samples from p,is
designing data structures,tradeoffs between computational and statistical resources,involves
tradeoff curve,known algorithms,form endpoints of
optimize computational efficiency,learn the query,one can
