node_1,node_2,edge
Cyclic Block Coordinate Descent,Variance Reduction,uses
Cyclic Block Coordinate Descent,Composite Nonconvex Optimization,applied to
Nonconvex optimization,machine learning,central to
Block-wise structure,machine learning problems,commonly encountered in
Cyclic block coordinate methods,nonconvex optimization problems,proposed for
Convergence analysis,gradient Lipschitz condition,based on
gradient Lipschitz condition,Mahalanobis norm,defined with respect to
Deterministic settings,gradient descent,convergence guarantee matches
Stochastic settings,recursive variance reduction,uses
recursive variance reduction,per-iteration cost,decreases
Cyclic block coordinate methods,optimal stochastic full-gradient methods,matches arithmetic operation complexity of
Polyak-Łojasiewicz (PŁ) condition,linear convergence,implies
Cyclic block coordinate method,composite nonconvex settings,first to provide non-asymptotic convergence guarantees for
Cyclic scheme,deep neural nets,demonstrated efficacy in training
block separability,block coordinate methods,gives rise to
finite/infinite sum structure,stochastic optimization methods,gives rise to
finite/infinite sum structure,variance-reduced optimization methods,gives rise to
nonconvex optimization problems,block separable function r(x),includes
nonconvex optimization problems,smooth nonconvex function f(x),includes
r(x),block separable,is
r(x),proximal operator,admits efficiently computable
finite-sum variant,nonconvex optimization problems,is a special case of
finite-sum variant,f(x) = (1/n) Σ fi(x),defines f(x) as
finite-sum optimization,stochastic optimization,is a variant of
finite-sum optimization,min x∈Rd F(x) = f(x) + r(x),is defined as
f(x),nonconvex and smooth,has property
n,very large,is typically
central limit theorem,n = +∞,justifies setting
stochastic optimization,F(x) = Eξ∼D[f(x; ξ)] + r(x),is defined as
ξ,random variable,is a
random variable,unknown distribution D,follows
problems (2) and (3),machine learning,commonly arise in
risk minimization,machine learning,is a type of problem in
block coordinate methods,variance-reduced stochastic gradient methods,are both prevalent in
block coordinate methods,machine learning,are effective in
block coordinate methods,cyclic block coordinate descent,includes method
cyclic block coordinate descent,variance reduction,combined with
block coordinate methods,greedy methods,can be classified into
greedy methods,Gauss-Southwell methods,also known as
