node_1,node_2,edge
Mixing Predictions,Online Metric Algorithms,technique used in
Online algorithms,learning-augmented online algorithms,subfield of
learning-augmented online algorithms,combining multiple algorithms or predictors,major technique in
predictors,dynamic combination,can be combined into
dynamic combination,different predictors at different times,follows
metric task systems,online problems,class of
algorithms,metric task systems,competitive against dynamic combinations for
competitive ratio,O(ℓ^2),equals
unconstrained combination of ℓ predictors,best in hindsight,benchmark against
constrained number of switches,benchmark,slightly constrained version of
constrained number of switches,(1 + ϵ)-competitive algorithm,enables
algorithms,bandit-like fashion,can be adapted to access predictors in
bandit-like fashion,querying only one predictor at a time,means
lower bounds,structural insight about covering formulations,implies
covering formulations,k-server problem,related to
online algorithms,input sequence,revealed over time to
learning-augmented algorithm,predictions,has access to
predictions,future input,related to
learning-augmented algorithm,online algorithms,contrasts with
hybrid algorithm,multiple algorithms,combines
hybrid algorithm,learning-augmented algorithms,is a technique in
hybrid algorithm,individual algorithms,leverages advantages of
MIN operator,algorithms,combines several into one
MIN operator,k-server problem,applied to
hybrid algorithm,learning-augmented algorithms,used in
learning-augmented algorithms,prediction errors,made robust against
learning-augmented algorithms,classical online algorithm,combined with
learning-augmented algorithms,predictions,follows
learning-augmented algorithms,parameterized versions,combines differently
parameterized versions,same algorithm,are versions of
