node_1,node_2,edge
Conditional Average Treatment Effects (CATE),meta-learners,estimated by
meta-learners,nonparametric estimators,are a type of
meta-learners,supervised learning method,not restrained to
multi-valued treatments,binary treatment,more complicated than
multi-valued treatments,heterogeneous effects,estimate
naive extensions,multi-valued treatments,limitations emerge for
error upper bounds,number of treatment levels,function of
meta-learners,synthetic and semi-synthetic datasets,empirically confirmed with
counterfactual prediction,outcomes,predicts effect on
intervention,parameter,acts on
intervention,outcome,affects
supervised ML,optimal intervention strategy,used to find
supervised ML,causal relationships,cannot distinguish
Potential Outcomes theory,causal effects,reduces inference to
causal effects,statistical inference,reduced to
causal effects,medicine,applied in
causal effects,economics,applied in
causal effects,public policy,applied in
causal effects,marketing,applied in
binary treatment setting,causal questions,limited to
Causal Inference,binary treatment setting,limited to
Causal Inference,multi-valued treatment setting,extends beyond
binary treatment setting,multi-valued treatment setting,contrasted with
Heterogeneous Treatment Effects,Causal Inference,challenge in
Heterogeneous Treatment Effects,ground truth,lacks
binarizing,Stable Unit Treatment Value Assumption (SUTVA),violates
binarizing,position bias,yields
position bias,recommendation systems,occurs in
hidden variation of treatment,binarizing,not accounted for when
