node_1,node_2,edge
BNN-DP,Bayesian Neural Networks (BNNs),analyzes adversarial robustness of
BNN-DP,adversarial robustness,computes bounds on
BNN-DP,Dynamic Programming (DP),uses
BNN-DP,bound propagation techniques,uses
BNN-DP,convex relaxations,uses
BNN-DP,backward recursion procedure,derives
BNN-DP,piecewise affine functions,over-approximates prediction range with
Bayesian Neural Networks (BNNs),stochastic dynamical systems,interpreted as
BNN-DP,regression tasks,handles
BNN-DP,classification tasks,handles
BNN-DP,state-of-the-art methods,outperforms
models learned from data,robustness,serious concerns about
Bayesian Neural Networks (BNNs),neural networks,are a type of
Bayesian Neural Networks (BNNs),distributions placed over their parameters,have
Bayesian Neural Networks (BNNs),deterministic counterpart,compared as more robust paradigm
Bayesian Neural Networks (BNNs),model uncertainty,enable principled evaluation of
model uncertainty,out-of-distribution samples,used for flagging
model uncertainty,robust decision making,used for
existing methods,robustness of BNNs,formally evaluate
existing methods,posterior distributions with bounded support,limited to
posterior distributions with bounded support,algorithms commonly employed to train BNNs,not supporting
BNN-DP,adversarial robustness,quantifies with formal guarantees
BNN-DP,posterior distributions,supports unbounded support
BNN-DP,scalability,is scalable
BNN-DP,Dynamic Program (DP),formulates robustness computation as solution of
BNN,posterior distributions,commonly uses Gaussian distributions
BNN,stochastic dynamical systems,viewed as
adversarial robustness,piecewise affine (PWA) bounds,computed via upper and lower bounds
Dynamic Program (DP),sub-problems,breaks computation into set of
BNN,classification,considered in setting
BNN,regression,considered in setting
