node_1,node_2,edge
large language models (llms),machine-generated instruction-following data,Machine-generated instruction-following data has been shown to improve zero-shot capabilities of LLMs on new tasks.
large language and vision assistant (llava),large multimodal model,LLaVA is an end-to-end trained large multimodal model that connects a vision encoder and an LLM for visual and language understanding.
llava,vision encoder,LLaVA connects a vision encoder for visual understanding.
llava,llm,LLaVA connects an LLM for language understanding.
multimodal chat abilities,ml model llava,"LLaVA demonstrates impressive multimodal chat abilities, sometimes exhibiting behaviors of multimodal GPT-4 on unseen images/instructions."
llava,gpt-4,"Fine-tuning on Science QA, the synergy of LLaVA and GPT-4 achieves a new state-of-the-art accuracy."
individual channel,unique advantage,individual channel has a unique advantage in representing and communicating certain concepts
individual channel,certain concepts,individual channel has a unique advantage in representing and communicating certain concepts
individual channel,better understanding,individual channel facilitates a better understanding of the world
core aspirations,artificial intelligence,core aspirations in artificial intelligence is to develop a general-purpose assistant
general-purpose assistant,multi-modal vision-and-language instructions,developing a general-purpose assistant that can effectively follow multi-modal vision-and-language instructions
community,interest,community has witnessed an emergent interest in developing language-augmented vision models
vision models,capabilities,vision models with strong capabilities in open-world visual understanding
capabilities,classification,capabilities in open-world visual understanding such as classification
capabilities,detection,capabilities in open-world visual understanding such as detection
capabilities,segmentation,capabilities in open-world visual understanding such as segmentation
capabilities,captioning,capabilities in open-world visual understanding such as captioning
task,single large vision model,each task is solved independently by one single large vision model
language models,language,large language models have shown that language can play a wider role
large language models (llm),universal interface,LLMs have shown that language can play a wider role as a universal interface for a general-purpose assistant.
large language models (llm),general-purpose assistant,"LLMs can act as a universal interface for a general-purpose assistant, where task instructions can be represented."
language,universal interface,Language is highlighted as a universal interface for a general-purpose assistant in the context.
chatgpt,gpt-4,Success of ChatGPT and GPT-4 demonstrate the power of aligned LLMs in following human instructions.
chatgpt,gpt-4,ChatGPT and GPT-4 have stimulated interest in developing open-source LLMs.
llama,gpt-3,LLaMA is an open-source LLM that matches the performance of GPT-3.
alpaca,vicuna,"Alpaca and Vicuna, along with GPT-4-LLM, utilize high-quality instruction-following samples to improve alignment."
alpaca,vicuna,"Alpaca, Vicuna, and GPT-4-LLM report impressive performance compared with proprietary LLMs."
visual instruction-tuning,instruction-tuning,Visual instruction-tuning is presented as an extension towards building a general-purpose visual assistant.
