node_1,node_2,edge
Offline Preference-based RL,Reinforcement Learning from Human Preferences (RLHF),is a subfield of
Offline algorithms,fixed dataset of sampled responses,uses
Offline algorithms,preference feedback,uses
DPO,Offline Preference-based RL,is a method in
IPO,Offline Preference-based RL,is a method in
SLiC,Offline Preference-based RL,is a method in
design choices,quality of the learned policy,influences
loss function,design choices,is a type of
policy used to normalize log-likelihoods,design choices,is a type of
data sampling policy,design choices,is a type of
reparameterization-style arguments,algorithms in this family,not relied upon for unified treatment
online algorithms,Reinforcement Learning with Human Preferences (RLHF),is a family of methods in
reward function,online algorithms,is learned by
reward function,numerical scores,assigns
reward function,numerical scores,assigns
reward function,response y,assigns scores to
reward function,input x,given
high-scoring responses,low-scoring responses,preferred over
reward function,online RL algorithm,maximized using
online RL algorithm,PPO,example of
online RL algorithm,Reinforce,example of
different approach,reward learning step,forgoes
different approach,reparameterization trick,uses
reparameterization trick,good policy,directly learns
Direct Preference Optimization (DPO),pioneering approach,is
offline or direct alignment,Direct Preference Optimization (DPO),referred to as
offline or direct alignment,fresh samples,does not draw
offline or direct alignment,learned policy,does not draw samples from
offline or direct alignment,responses observed in preference dataset,only uses
this paper,offline methods for RLHF,focuses on
offline methods for RLHF,DPO,includes
offline methods for RLHF,IPO,includes
offline methods for RLHF,SLiC,includes
offline methods for RLHF,KTO,includes
Offline methods for RLHF,DPO,includes
Offline methods for RLHF,IPO,includes
Offline methods for RLHF,SLiC,includes
Offline methods for RLHF,KTO,includes
Offline methods for RLHF,removal of an explicit reward learning step,simplifies
Offline methods for RLHF,reducing demand on computational resources,results in
Offline methods for RLHF,evaluating policy likelihood on fixed responses,requires
Offline methods for RLHF,deficiencies,has
deficiencies,shifting probability mass outside support,includes
deficiencies,preference hacking behaviors,includes
deficiencies,collapses in learning dynamics,includes
Offline methods for RLHF,comprehensive theoretical foundation,lacks
