node_1,node_2,edge
Vision-Language Models (VLMs),safety alignment,challenged by
image encoder,harmful information,contains uneven distribution across intermediate layers
early exit,harmful responses,increases chance of generating
ICET,Image enCoder Early-exiT,stands for
ICET,vulnerability,is a
LLaVA-1.5,ICET,tested on
LLaVA-NeXT,ICET,tested on
Llama 3.2,ICET,tested on
early exit,harmful outputs,significantly increases likelihood of generating
Clipped-Proximal Policy Optimization (Clip-PPO),Layer-Wise PPO (L-PPO),modified to create
L-PPO,layer-wise multi-modal RLHF,performs
L-PPO,harmfulness,reduces caused by early exits
Vision-Language Models (VLMs),harmful outputs,can be exploited to produce
Image enCoder Early exiT vulnerability (ICET),LLaVA-1.5,affects
early exits,harmfulness,reduces
default layer embeddings,safe output,results in
18th-layer embeddings,harmful responses,causes
safety training methods,VLMs,applied to
supervised fine-tuning (SFT),safety training methods,is a type of
reinforcement learning from human feedback (RLHF),safety training methods,is a type of
fine-tuning (SFT),VLMs,is a method applied to
reinforcement learning from human feedback (RLHF),VLMs,is a method applied to
unlearning,VLMs,is a method applied to
VLMs,multi-modal adversarial prompts,remain susceptible to
specific parameters in LLMs,certain types of information,retain
residual knowledge traces,certain parameters,persist in
unlearning,residual knowledge traces,does not fully remove
skipping specific layers,harmful content generation,can impact
harmful information,LLM parameters and layers,is unevenly distributed across
inclusion of modalities like images,risks,may intensify
VLMs,risks,face increased
Image Encoder Early Exit from Layer 18,harmful output,leads to
