node_1,node_2,edge
attention mechanism,transformers,key component of
attention mechanism,token propagation,orchestrates
tokens,asymptotic convergence,exhibit
asymptotic convergence,attention in transformers,result of
GPT-2,GPT-Neo,used in experimental studies
attention,natural language processing,breakthrough in
transformers,sequence-to-sequence models,enabled by
GPT,Bert,initial transformer models
transformers,Long Short-Term Memory model,improvement over
deep neural networks,image recognition,practical application of
deep neural networks,natural language processing,practical application of
deep neural networks,autonomous driving,practical application of
transformers,deep neural networks,type of
transformers,clusters of tokens,exhibit emergence of
transformers,collapse,may undergo
clusters of tokens,collapse,phenomenon where tokens cluster leading to
mathematical model for attention,transformers,proposed to explain dynamics of
Geshkovski et al. (2023a),mathematical model for attention,proposed
mathematical model for attention,attention mechanisms,models and explains
control community,asymptotic properties of dynamical and control systems,studies
geometric perspective,control theory,derived from
consensus dynamics on manifolds,control theory,part of
Input-to-State Stability,control theory,concept from
differential equation model of attention,tokens,describes convergence of
tokens,single cluster,converge to
single cluster,consensus equilibria,referred to as
consensus equilibria,consensus literature,term used in
