node_1,node_2,edge
Graph-Assisted Stitching (GAS),offline hierarchical reinforcement learning,is a framework for
Graph-Assisted Stitching (GAS),subgoal selection,formulates as a graph search problem
Graph-Assisted Stitching (GAS),Temporal Distance Representation (TDR) space,embeds states into
Temporal Distance Representation (TDR) space,semantically similar states,clusters
Graph-Assisted Stitching (GAS),shortest-path algorithm,applies to select subgoal sequences
Graph-Assisted Stitching (GAS),low-level policy,learns to reach subgoals
Graph-Assisted Stitching (GAS),Temporal Efficiency (TE) metric,introduces to filter noisy transitions
Temporal Efficiency (TE) metric,graph quality,improves
Graph-Assisted Stitching (GAS),prior offline HRL methods,outperforms
offline hierarchical reinforcement learning,high-level policy learning,relies on
high-level policy learning,subgoal sequences,generates
task horizons,efficiency,degrades as increases
Offline reinforcement learning,pre-collected datasets,learns from
Offline reinforcement learning,effective policies,learns
Offline reinforcement learning,real-world applications,valuable in
Offline goal-conditioned reinforcement learning,Offline reinforcement learning,builds on
Offline goal-conditioned reinforcement learning,multi-task policy,learns
long-horizon tasks,sparse-reward tasks,are a challenge in
long-horizon tasks,Offline goal-conditioned reinforcement learning,challenge for
sparse-reward tasks,Offline goal-conditioned reinforcement learning,challenge for
offline GCRL,tasks,are a fundamental challenge in
rewards,final state,provided only at
standard offline GCRL algorithms,long-horizon goals,struggle to decompose into subgoals
offline hierarchical reinforcement learning (HRL),offline GCRL,motivated by limitations of
HRL,long-horizon and sparse-reward problems,is a well-established approach for
high-level policy,subgoals,generates
low-level policy,subgoals,learns to achieve using primitive actions
HRL,learning efficiency,improves by breaking down tasks
existing offline HRL methods,high-level policy learning,exhibit major limitations in
subgoal sampling,fixed time intervals,often uses states at
naive subgoal sampling strategy,temporal dependencies between states,fails to capture
