node_1,node_2,edge
Ridge regression,Correlated samples,analyzed under condition of
Ridge regression,In-sample risk,has
Ridge regression,Out-of-sample risk,has
Generalized cross validation (GCV),Out-of-sample risk,fails to predict
CorrGCV,Generalized cross validation (GCV),modified version of
CorrGCV,Unbiased estimator,is an
Random matrix theory,Ridge regression,provides asymptotics for
Free probability,Ridge regression,provides asymptotics for
Noise residuals,Data points,have same correlations as
Test point,Training set,has nontrivial correlations with
Time series forecasting,Test point,involves
Correlation structure,Time series,of
statistics,independent and identically distributed (i.i.d.) samples,classically assumes
independent and identically distributed (i.i.d.) samples,time series data,often violated when considering
time series data,financial data,example of
time series data,climate data,example of
time series data,neuroscience data,example of
i.i.d. assumption,cross-validation,assumed by estimators of out-of-sample prediction risk
cross-validation,out-of-sample prediction risk,estimates
time series data,correlations,requires taking into account for accurate prediction
ridge regression,time series data,paradigmatic setting for prediction
timeseries data,correlations,requires taking into account
ridge regression,out-of-sample risk,provides asymptotic characterizations of
ridge regression,in-sample risk,estimated using i.i.d. samples
high-dimensional asymptotics,dimensionality of covariates,allows to be large
high-dimensional asymptotics,number of examples,allows to be large
ridge regression,spectral bias,has
spectral bias,eigenfunctions of the feature covariance,towards learning functions aligned with
ridge regression,Gaussian universality,displays
Gaussian universality,out-of-sample risk,implies asymptotic identity for
Gaussian dataset,matched first and second moments,has
training examples,i.i.d.,assumed to be
Bigot et al. (2024),independent but non-identically distributed examples,allows for
