node_1,node_2,edge
Proto Successor Measure,behavior space of an RL agent,represents
Proto Successor Measure,basis set,is a
basis set,all possible behaviors,represents
all possible behaviors,visitation distributions,represented using
visitation distributions,affine combination,can be represented by
affine combination,policy-independent basis functions,of
reward function,linear weights,used to find
linear weights,basis functions,combine
optimal policy,reward function,corresponds to
Proto Successor Measure,reward-free interaction data,learned using
reward-free interaction data,environment,from
near-optimal policy,test time,produced at
near-optimal policy,reward function,for any given
zero-shot learning,reinforcement learning,elusive for
zero-shot RL agents,assumptions,make
assumptions,nature of tasks,about
assumptions,structure of the MDP,about
environment,tasks,tasks are defined within
humans,new tasks,perform without additional practice
intelligent agents,environment,infer necessary information about
Reinforcement Learning (RL) algorithms,tasks,optimally solve
exploration,environment,used to gather information about
downstream task,experience,solved using
sequence of decisions,task,optimally solves
task,reward function,defined using
reward function,optimal agent policy,corresponds to
RL agent,task,trained for
RL agent,distribution of related tasks,trained on
RL agent,generalization,does not achieve
computer vision,zero-shot adaptation,shows success at
natural language processing,few-shot adaptation,shows success at
RL,zero-shot adaptation,lags behind in
unsupervised RL,reusable information,aims to extract
reusable information,skills,includes
reusable information,representations,includes
reusable information,world-models,includes
reusable information,goal-reaching policies,includes
unsupervised RL,RL agent,efficiently trains for any task
unsupervised RL,zero-shot RL,shows promise towards
pretraining algorithms,self-supervised learning,use
