node_1,node_2,edge
Self-Play Q-Learners,Iterated Prisoner’s Dilemma,analyzed in the context of
Self-Play Q-Learners,cooperative behaviors,converge to
cooperative behaviors,collusive price-setting,such as
collusive price-setting,oligopoly markets,occurs in
Self-Play Q-Learners,"Pavlov (win-stay, lose-shift) policy",provably learn
"Pavlov (win-stay, lose-shift) policy",always defect policy,Pareto-dominated by
algorithmic pricing,manual pricing,has supplanted
machine learning–based pricing systems,tacit collusion,raise concerns about
multiple firms,same local market,compete within
tacit collusion,pricing algorithms,potential for
pricing algorithms,suppress competition,can autonomously learn to
pricing algorithms,higher prices,lead to
algorithmic collusion,tangible risk,is a
simple algorithms,higher prices,can lead to
Q-learning,high prices,can learn to sustain through reward–punishment mechanisms
Q-learning,high prices,learns to sustain through reward-punishment mechanisms
Q-learning,collusive patterns,characterized as in antitrust literature
algorithmic pricing,competition,affects in Germany's retail gasoline market
machine learning pricing tools,profit margins,increased only when multiple competitors used them
algorithm-driven collusion,machine learning pricing tools,consistent with concerns over
machine learning algorithms,cooperation,observed in general iterated social dilemmas
tacit collusion,simplified settings,studied in highly
prisoner's dilemma,machine learning algorithms,dynamics induced by are complex
ϵ-greedy Q-learning,expected-value formulations,without memory are frequently analyzed
ϵ-greedy Q-learning,memory,without access to previous states
