node_1,node_2,edge
differentially private algorithms,prediction with expert advice,designed for
dynamic regret,tracking the best expert,also known as
stochastic adversary,shifting distributions,characterized by
oblivious adversary,dynamic regret,addressed in context of
adaptive adversary,dynamic regret,addressed in context of
expected dynamic regret,stochastic adversary,upper bound for
expected dynamic regret,oblivious adversary,upper bound for
static regret,dynamic regret minimization,reduction from
oblivious adversary,adaptive adversary,fundamental separation between
high-privacy regime,oblivious adversary,sub-linear regret achievable for
adaptive adversary,linear dynamic regret,causes
regime ε ≤ √(S/T),differentially private algorithm,"under this regime, any (ε, δ)-differentially private algorithm must suffer linear dynamic regret under adaptive adversaries"
regime ε ≫ √(S/T),ε-differentially private algorithm,"under this regime, an ε-differentially private algorithm attains sub-linear dynamic regret under adaptive adversaries"
online learning with experts,online algorithm,is a fundamental problem where an online algorithm interacts with an adversary
online algorithm,adversary,interacts with for T rounds
learner,expert Jt,chooses at each round t from N experts
environment,loss vector ℓt,chooses at each round t
static regret RT,loss of learning algorithm,measures compared to loss of best-expert in hindsight
static regret RT,best-expert in hindsight,compares against
static regret,dynamic regret,is compared to
static regret,best fixed expert,evaluates against
dynamic regret,sequence of changing experts,compares against
dynamic regret,static regret,is harder to minimize than
dynamic regret,limited number of switches,constrained by
dynamic regret,financial markets,is relevant to
dynamic regret,recommendation systems,is relevant to
