node_1,node_2,edge
Competing Bandits,Matching Markets,studied in the context of
Matching Markets,two-sided reward uncertainty,characterized by
super-stability,Irving (1994),introduced by
Extended Gale-Shapley (GS) algorithm,standard GS algorithm,advantage over
Extended Gale-Shapley (GS) algorithm,true stable matchings,achieves
centralized algorithm,Extended GS algorithm,employs
centralized algorithm,logarithmic pessimal stable regret,attains
logarithmic pessimal stable regret,instance-dependent admissible gap parameter,dependent on
Extended GS algorithm,decentralized setting,adapted to
decentralized setting,constant regret increase,results in
centralized instance-dependent lower bound,binary stable regret,established for
admissible gap,super-stable matching,roles in characterizing complexity of stable matching with bandit feedback
market,crowd-sourcing markets,includes examples such as
market,ride-sharing systems,includes examples such as
market,matching students in college programs,includes examples such as
market,matching organ donors with recipients,includes examples such as
two-sided market,demand side (users),has agent type
two-sided market,supply side (arms),has agent type
agent,implicit preference order,has
preference order,noisy feedback,elicited from
stable matching,blocking pair,defined by absence of
stable matching,low regret,objective is to converge with
prior works,user side uncertainty,limited to
our work,two-sided uncertainty,considers
our work,general matching markets,considers
users,arms,participate in a matching market
bandit learning methods,Gale-Shapley algorithm,combined with
Gale-Shapley algorithm,top N ranks,requires learning
matching market,stable matching problem,underlies
Irving (1994),algorithm,seminal work constructing
Gale-Shapley algorithm,weakly stable matching,produces
weakly stable matching,blocking pair,defined by absence of
user i,arm j,can form a blocking pair
partial rankings,weakly stable matching,used to define
