node_1,node_2,edge
Multivariate Conformal Selection (mCS),Conformal Selection (CS),generalizes
Multivariate Conformal Selection (mCS),multivariate response settings,designed for
Conformal Selection (CS),univariate responses,limited to
Multivariate Conformal Selection (mCS),regional monotonicity,introduces
Multivariate Conformal Selection (mCS),multivariate nonconformity scores,employs
multivariate nonconformity scores,conformal p-values,used to construct
conformal p-values,False Discovery Rate (FDR) control,enables
mCS-dist,Multivariate Conformal Selection (mCS),variant of
mCS-learn,Multivariate Conformal Selection (mCS),variant of
mCS-dist,distance-based scores,uses
mCS-learn,differentiable optimization,learns optimal scores via
Multivariate Conformal Selection (mCS),selection power,improves
Multivariate Conformal Selection (mCS),FDR control,maintains
drug discovery,high-quality candidates,requires selecting
drug discovery,chemical spaces,searches
high binding affinity,specific target,is associated with
precision medicine,positive individual treatment effects,aims to identify
post-hoc certification,large language model (LLM) outputs,applied to
post-hoc certification,trustworthy generations,retains
trustworthy generations,user-defined criteria,meets
true test responses,binding affinity,example of
true test responses,alignment score,example of
selection,machine learning model predictions,relies on
quantifying selection uncertainty,maintaining efficiency,essential for
Conformal selection,model-agnostic framework,is a
Conformal selection,selection with uncertainty quantification,provides
Conformal selection,conformal prediction,extends
Conformal selection,multiple hypothesis testing,applied to
conformal p-values,multiple testing corrections,uses
conformal selection methods,univariate responses,limited to
conformal selection,univariate responses,limited to
conformal selection,multivariate responses,extended to
LLM outputs,alignment requirements,must satisfy
alignment requirements,"fairness, safety, and correctness",includes
multivariate alignment scores,alignment requirements,represent
conformal selection framework,multivariate response settings,extended to
finite-sample false discovery rate (FDR) control,conformal selection procedure,ensured by
monotonicity,regional monotonicity,generalized to
regional monotonicity,nonconformity function,property of
distance-based nonconformity scores,regular-shaped and convex target regions,suitable for
learning-based method,nonconformity scores,optimizes
learning-based method,high-dimensional responses,effective for
learning-based method,irregular or nonconvex target regions,effective for
