node_1,node_2,edge
Joint Metric Space Embedding,Unbalanced Optimal Transport,based on
Unbalanced Optimal Transport,Gromov–Wasserstein Marginal Penalization,uses
Joint Metric Space Embedding,unsupervised alignment of heterogeneous datasets,achieves
unsupervised alignment of heterogeneous datasets,common metric space,maps data to
Joint Metric Space Embedding,joint multidimensional scaling method,counterpart to
functional,minimizer,has
penalization parameters,embedded Wasserstein distance,converges to minimizer of
model,"quadratic, multi-marginal, unbalanced optimal transport problem",reformulated as
"quadratic, multi-marginal, unbalanced optimal transport problem",bi-convex relaxation,admits
bi-convex relaxation,block-coordinate descent,solved via
Wasserstein distance,optimal transport,seeks
Wasserstein distance,optimal transport (OT),is a classic example of
optimal transport (OT),two given distributions,seeks transport between
heterogeneous spaces,ground cost function,lacks readily available
ground cost function,heterogeneous spaces,does not generally exist between
learning appropriate cost functions,heterogeneous spaces,may be required for
natural embedding,canonical joint metric space,exists into
canonical joint metric space,heterogeneous datasets,may not suit comparison of
heterogeneous settings,graph- or mesh-valued data,includes examples like
graph- or mesh-valued data,3d shapes or manifolds,such as
novel framework,optimal transport (OT),is based on
novel framework,heterogeneous datasets,enables joint comparison and visualization of
Optimal Transport (OT),heterogeneous datasets,enables joint comparison and visualization
Optimal Transport (OT),metric space,transfers data into a fixed metric space
Wasserstein distances,measures,compare measures on a common metric space
Gromov–Wasserstein (GW) distances,measures,compare measures on distinct metric spaces
Gromov–Wasserstein (GW) distances,shape matching,used in tasks like shape matching
GW distances,Euclidean spaces,approximated by jointly embedding measures into
Wasserstein Procrustes problem,Euclidean isometries,incorporates invariance to
Wasserstein Procrustes problem,linear operators,extended to account for
invariant OT,previous work,extends
