node_1,node_2,edge
MATHCONSTRUCT,constructive proofs,targets
MATHCONSTRUCT,LLM evaluation,used for
MATHCONSTRUCT,challenging problems,consists of
MATHCONSTRUCT,math competitions,sourced from
constructive proofs,mathematical objects,requires construction of
constructive proofs,solution correctness,enables verification of
MATHCONSTRUCT,automated verifiers,enables
automated verifiers,problem variations,generates
problem variations,robustness,used to evaluate
state-of-the-art LLMs,MATHCONSTRUCT problems,solve only 54% of
existing benchmarks,MATH,such as
existing benchmarks,saturated,are becoming
MATH benchmark,state-of-the-art models,is becoming increasingly saturated by
mathematical problems,proofs,involve
current benchmarks,evaluating proofs,are unsuitable for
formalized proof generation,automated theorem provers,can be verified by
automated theorem provers,Lean,example of
LLMs,formalized proof generation,struggle with
formalized proof generation,natural language reasoning capabilities,does not fully leverage
LLMs,natural language reasoning capabilities,possesses
proof-based problems,LLMs,challenging for
proof-based problems,verification,easy to verify for correctness
constructive proofs,proof-based problems,is a class of
constructive proofs,mathematical result,establishes
constructive proofs,object,constructs
object,constraints,satisfies
International Mathematical Olympiad (IMO),constructive proofs,includes problems involving
disproving a conjecture,constructing a counterexample,involves
Cantor’s diagonal argument,constructing a counterexample,example of
proving a bound,constructing an object,requires
Four Color Theorem,constructing an object,example of proof using
MATHCONSTRUCT,natural language statement,consists of
MATHCONSTRUCT,verifier function,consists of
verifier function,boolean value,returns
verifier function,proposed construction,validates
