node_1,node_2,edge
Visual Graph Arena (VGA),dataset,is a
Visual Graph Arena (VGA),graph-based tasks,features
Visual Graph Arena (VGA),visual abstraction,evaluates
Visual Graph Arena (VGA),representation-invariant reasoning,isolates challenge of
conceptualization,human reasoning,is a basic ability of
conceptualization,visual form,recognizes concept despite variations in
multimodal large language models,visual question answering,drive breakthroughs in
multimodal large language models,conceptualization,lack ability of
graph layouts,Kamada-Kawai,includes
graph layouts,planar,includes
graph layouts,reasoning independent of visual form,test
humans,near-perfect accuracy,achieved
models,isomorphism detection,failed on
models,path/cycle tasks,showed limited success on
models,pseudo-intelligent pattern matching,suggest
pseudo-intelligent pattern matching,genuine understanding,contrasts with
VGA,vga.csail.mit.edu,available at
Visual Graph Arena,human-like conceptualization,aims to drive progress toward
object recognition,visual question answering,related fields that have witnessed progress
artificial intelligence,artificial general intelligence (AGI),gap between current capabilities and goal
deep reasoning,visual inputs,ability to engage in from
conceptualization,human-like cognitive abilities,essential for reaching
conceptualization,visual form,ability to recognize concepts across varying
humans,visual representation,developed methods of
visual representation,complex information,simplifies and enhances understanding of
visual representation,complex information,simplifies
visual representation,understanding,enhances
chemical structures,visual representation,is a domain of
logic circuits,visual representation,is a domain of
flowcharts,visual representation,is a domain of
statistical data,visual representation,is a domain of
visual conventions,visual representation,are part of
abstractions,visual representation,are part of
logic circuit,visualization,has different
chemical structure,representation,has different
graph,layout,has different
conceptualization,visual representation,is the understanding of
conceptualization,humans,is intuitive for
conceptualization,AI,is challenging for
out-of-distribution generalization,conceptualization,encompasses
