node_1,node_2,edge
Parameters,FLOPs,are two dimensions defining model capacity
Model capacity,Parameters,is defined by number of
Model capacity,Compute per example,is defined by
Sparse Mixture-of-Experts (MoEs),Parameters,allows scaling number of without proportionally increasing FLOPs
Sparse Mixture-of-Experts (MoEs),Sparsity level,has a varying
Sparsity level,Inactive parameters,is the fraction of
Sparsity level,Model performance,impacts
Optimal sparsity,Training efficiency,improves
Optimal sparsity,Model performance,improves
Scaling laws,Sparsity,describe impact of on model performance
Scaling laws,Mixture-of-Experts (MoEs),apply to
Empirical scaling laws,language model pretraining,applied to
model capacity,number of model parameters,quantified by
model capacity,FLOPs per example,also quantified by
FLOPs per example,compute per example,measured as
increasing model capacity,pretraining loss,decreases
increasing model capacity,downstream task performance,improves
increasing model capacity,emergent capabilities,unlocks
number of parameters,FLOPs per example,can be independently varied by mechanisms
Sparse Mixture-of-Experts (MoE) models,FLOP-free parameters,introduce
Sparse Mixture-of-Experts (MoE) models,sparsity,leverage
number of parameters,FLOPs per example,relative estimator of
number of parameters,model capacity,measure of
number of parameters,FLOPs per example,not directly linked in some architectures
scaling laws,optimal trade-off,drawn for
parameter count,FLOPs per example,trade-off between
Sparse Mixture-of-Expert Transformers (MoEs),language modeling,studied in context of
scaling law studies for MoEs,number of experts,investigate role of
scaling law studies for MoEs,granularity of experts,investigate role of
scaling law studies for MoEs,underlying dense model size,investigate role of
scaling law studies for MoEs,inference compute,investigate role of
