node_1,node_2,edge
Long-range graph tasks,Graph neural networks,are an open problem in
Long Range Graph Benchmark,long-range capability,used for validating
long-range interactions,graph tasks,formalized in
range measure,operators on graphs,introduced for
range measure,synthetic experiments,validated with
range measure,commonly used tasks and architectures,used to examine
Graph neural networks,message passing neural networks,include
message passing neural networks,graph neural networks,are a framework within
Message Passing Neural Networks (MPNNs),learning from data,framework for
Message Passing Neural Networks (MPNNs),node representation,iteratively updates
Message Passing Neural Networks (MPNNs),local neighborhood,aggregates information from
Message Passing Neural Networks (MPNNs),social networks,effective in tasks such as
Message Passing Neural Networks (MPNNs),computational chemistry,effective in tasks such as
Message Passing Neural Networks (MPNNs),recommendation systems,effective in tasks such as
Message Passing Neural Networks (MPNNs),long-range dependencies,struggles to capture
long-range dependencies,distant nodes,interactions between
Message Passing Neural Networks (MPNNs),over-smoothing,suffers from
Message Passing Neural Networks (MPNNs),vanishing gradients,suffers from
Message Passing Neural Networks (MPNNs),over-squashing,suffers from
over-smoothing,deep GNNs,difficulty building attributed to
vanishing gradients,deep GNNs,difficulty building attributed to
over-squashing,graph bottlenecks,inability to propagate information through
MPNNs,global or long-range interactions,model tasks that depend on
explicit static rewiring,distance on a graph,reduces
rewiring of the computational graph,distance on a graph,reduces
virtual/latent nodes,rewiring of the computational graph,architectural component for
fully connected or multi-hop message passing layers,rewiring of the computational graph,architectural component for
global attention,rewiring of the computational graph,architectural component for
synthetic long-range tasks,long-range interactions,depend on
simple rewiring,synthetic long-range tasks,converts into short-range tasks
graph-structured data,locally biased,is by design
Long Range Graph Benchmark (LRGB),real-world benchmarks,is an example of
