node_1,node_2,edge
Polynomial Time Learning-Augmented Algorithms,NP-hard Permutation Problems,solves
Learning-Augmented Algorithms,predictions,uses
predictions,"pair u, v of elements",tells order of
predictions,unknown fixed optimal solution,approximates
Braverman and Mossel (SODA 2008),class of optimization problems,provided foundation for
class of optimization problems,scheduling,includes
class of optimization problems,network design,includes
class of optimization problems,graph permutation problems,includes
predictions,probability at least 1/2 + ϵ,requires accuracy of
algorithm,parsimonious access to predictions,achieves
learning-augmented algorithms,algorithms with predictions,also known as
learning-augmented algorithms,black-box ML model,assumes predictions provided by
learning-augmented algorithms,predictions,uses to outperform existing algorithms
learning-augmented algorithms,online optimization,initially emphasized in
learning-augmented algorithms,"Mahdian, Nazerzadeh, and Saberi",introduced by
learning-augmented algorithms,online caching problem,formalized by Lykouris and Vassilvitskii for
"Mahdian, Nazerzadeh, and Saberi",allocating online advertisement space,applied to
Lykouris and Vassilvitskii,online caching problem,studied using predictions
algorithms with predictions,NP-hard optimization problems,used to address
learning-augmented algorithms,clustering,applied to
learning-augmented algorithms,graph optimization problems,applied to
MAXCUT,predictions,studied with
Cohen-Addad et al.,MAXCUT with predictions,investigated approximability of
first model,predictions for each vertex,assumes
first model,polynomial-time (0.878 + ˜Ω(ϵ4))-approximation algorithm,presents
second model,correct prediction for each vertex with probability ϵ > 0,receives
second model,(0.858 + Ω(ϵ))-approximation algorithm,designed
Ghoshal et al.,MAXCUT,studied
Ghoshal et al.,MAX2-LIN,studied
Braverman et al.,algorithms with predictions,studied
