node_1,node_2,edge
State-space models (SSMs),Transformers,alternative to for long sequences
State-space models (SSMs),fixed-size recurrent state,limits capability on algorithmic tasks
Gather-and-Aggregate (G&A) mechanism,in-context retrieval,operates in Transformer- and SSM-based language models
Gather Head,Gather-and-Aggregate (G&A) mechanism,part of
Aggregate Head,Gather-and-Aggregate (G&A) mechanism,part of
Gather Head,relevant information,extracts from context
Aggregate Head,representation,integrates information into
Gather-and-Aggregate (G&A) mechanism,bottlenecks,forms for simple retrieval
disabling a single Gather or Aggregate Head,pruned Llama-3.1-8B,impairs retrieving correct answer letter in MMLU
MMLU,accuracy,reduced from 66% to 25%
retrieval bottleneck,knowledge demands of tasks,can obscure
pruned model,MMLU,succeeds on with functioning G&A heads
pruned model,other knowledge benchmarks,fails on
SSMs,retrieval challenges,manifest in these heads
SSMs,smoother attention patterns,create instead of sharp transitions
Transformer-SSM retrieval gap,few heads,exists in rather than entire language model
Transformer,SSM (State-Space Model),"performance gap exists between them, with SSMs struggling with in-context retrieval"
SSM (State-Space Model),in-context retrieval,struggles with this skill
Transformer,quadratic scaling,has quadratic scaling with sequence length
SSM (State-Space Model),linear scaling,offers linear scaling with fixed-size memory
G&A head,attention variant,replacing G&A head with attention variant boosts retrieval and benchmark scores
pretrained hybrid model,attention layers,delegates role of Aggregate Heads to attention
Transformer-SSM retrieval gap,few heads,"exists in just a few heads, not the entire model"
Transformers,SSM variants,performance gap
Transformers,past tokens,direct access to
SSM retrieval limitations,language models,treated as black boxes
algorithmic capabilities,specific attention heads,concentrate in
Transformer-SSM performance gap,algorithmic capabilities,traced to
MMLU benchmark,performance gap,exemplifies
SSMs,Transformers,match on knowledge benchmarks
SSMs,MMLU,underperform on
MMLU,evaluation format,stems from
models,letter labels,select
