node_1,node_2,edge
Active Multi-task Fine-tuning (AMF),multi-task policy,algorithm to maximize performance of
Active Multi-task Fine-tuning (AMF),demonstration budget,operates under limited
Active Multi-task Fine-tuning (AMF),information gain,collects demonstrations yielding largest
pre-trained generalist policies,robot learning,gaining relevance in
pre-trained generalist policies,fast adaptation,promise of
fast adaptation,"novel, in-domain tasks",to
adaptation,collecting new demonstrations,relies on
collecting new demonstrations,imitation learning algorithms,applying
imitation learning algorithms,behavioral cloning,such as
multi-task problem,tasks to be demonstrated,decides which
multi-task problem,how often,decides
interactive framework,agent,agent adaptively selects tasks in
AMF,performance guarantees,derives
AMF,regularity assumptions,under
AMF,empirical effectiveness,demonstrates
AMF,neural policies,fine-tunes
neural policies,complex and high-dimensional environments,in
natural language processing,generative modeling,is a subfield of
generative modeling,robotics and control,has extended to
robotics and control,demonstrations,requires
demonstrations,scaling laws,related to
scaling laws,reinforcement learning,applied in
reinforcement learning,large pre-trained policies,suggests leveraging
large pre-trained policies,generalist policies,are also called
generalist policies,fine-tuned,can be
pre-trained policy,fine-tuning,can be fine-tuned on particular tasks
pre-trained policy,representations,leverages previously learned representations
pre-trained policy,skills,leverages previously learned skills
pre-trained policy,learning progress,can bootstrap learning progress
household robot,pre-trained generalist policy,delivered with
pre-trained generalist policy,different conditions,deployed in
robot,zero-shot tasks,may achieve
robot,fine-tuning,might necessitate for other tasks
robot,demonstrations,interactively requests
demonstrations,shortcomings,compensates for
fine-tuning,behavioral cloning,relies on for single task
behavioral cloning,expert demonstrations,uses
expert demonstrations,cost,collection is costly
number of demonstrations,expert effort,should be minimized
multi-task case,task selection,presents problem of selecting which tasks to demonstrate
pre-trained policy,demonstration selection,motivates main focus of work
