node_1,node_2,edge
AlphaVerus,formally verified code generation,is a framework for
AlphaVerus,self-improving framework,is a
AlphaVerus,bootstrapping,uses
AlphaVerus,translation,operates through iterative
AlphaVerus,Treefinement,introduces
Treefinement,tree search algorithm,is a
Treefinement,program refinement,used for
Treefinement,verifier feedback,uses
AlphaVerus,filtering misaligned specifications,includes
AlphaVerus,LLaMA-3.1-70B,enables to generate verified code
AlphaVerus,HumanEval,generates verified solutions for
AlphaVerus,MBPP,generates verified solutions for
large language models,code generation,used for automated
formal verification,mathematical guarantees,provides
formal verification,correctness of generated code,ensures
code-generation agents,large language models (LLMs),are powered by
large language models (LLMs),code generation,used for
LLM-powered agents,fixing bugs in software repositories,perform tasks such as
LLM-powered agents,solving Olympiad-level algorithmic problems,perform tasks such as
LLM-produced code,mistakes,contains
mistakes in LLM-produced code,subtle bugs,includes
mistakes in LLM-produced code,serious security vulnerabilities,includes
language models,any string of code,can generate
language models,correctness,without regard to
automatically checking correctness,LLM-generated code,is a grand challenge for
generated code,all possible inputs,must be correct for
code generation methods,generations,select or filter
generated code,correctness,requires
runtime testing,correctness,imperfect proxy for
human inspection,correctness,imperfect proxy for
perfect test coverage,runtime testing,required for reliable signal
incomplete coverage,unreliable signal,leads to
unreliable signal,model exploitation,can be exploited by
human review,scalability,limited by
humans,LLM-generated code correctness,struggle to judge
difficulty of trusting generated code,productivity gains,reduces
difficulty of trusting generated code,unexpected vulnerabilities,can lead to
verification-aware programming language,mathematical guarantees,provides
Dafny,verification-aware programming language,is an example of
F*,verification-aware programming language,is an example of
Verus,verification-aware programming language,is an example of
code,specification and proof,paired with
mechanical verifier,code meets specification,checks whether
mechanical verifier passing,mathematical guarantee,provides
