node_1,node_2,edge
FedECADO,federated learning,is a new algorithm for
FedECADO,dynamical system model,is inspired by
federated learning,distributed optimization,harnesses the power of
federated learning,unified machine learning model,trains
heterogeneous data distributions,inconsistent updates,can lead to
computational workloads,inconsistent updates,can lead to
FedECADO,non-IID data distribution,addresses through aggregate sensitivity model
aggregate sensitivity model,amount of data processed by each client,reflects
FedECADO,heterogeneous computing,tackles through multi-rate integration method
multi-rate integration method,adaptive step-size selections,uses
adaptive step-size selections,active client updates,synchronizes
FedECADO,FedProx,achieves higher classification accuracies than
FedECADO,FedExp,achieves higher classification accuracies than
FedECADO,FedNova,achieves higher classification accuracies than
federated learning,distributed compute nodes,trains models across
distributed compute nodes,local dataset,each equipped with
distributed compute nodes,computational capabilities,each equipped with
federated learning,individual clients,aggregates updates from
federated learning,global model,refines
federated learning,data privacy,improves
federated learning,model generalizability,improves
federated learning,efficiency,optimizes
federated learning,non-IID data distributions,encounters challenge of
federated learning,varying computation capacities,encounters challenge of
heterogeneity,inconsistent models,leads to
heterogeneity,limited performance,leads to
previous research,identical learning rates,assumed
previous research,IID data distribution,assumed
new consensus algorithm,non-IID data distribution,addresses challenge of
new consensus algorithm,heterogeneous client updates,synchronizes
new consensus algorithm,model consistency,ensures
Federated Learning,Non-IID data distribution,challenge addressed by
Federated Learning,Heterogeneous computing,challenge addressed by
ECADO,Equivalent circuit model of distributed optimization,is inspired by
ECADO,Ordinary differential equation (ODE),represents trajectory of global model state variables via
ECADO,Steady state,coincides with local optimum
Aggregate Sensitivity Model,First-order sensitivity model,is a type of
Aggregate Sensitivity Model,Faster convergence,provides
Aggregate Sensitivity Model,Non-IID data distribution,reflects fraction of data for
Multi-rate integration with adaptive step sizes,Heterogeneous computational capabilities,synchronizes local updates from clients with
Multi-rate integration with adaptive step sizes,Continuous-time,synchronizes updates in
Multi-rate integration with adaptive step sizes,Faster convergence,proposes aggregation method for
FedECADO,ECADO,builds on
FedECADO,Multi-rate integration,introduces new methodology
Circuit-inspired modeling,Federated Learning,introduced to
