node_1,node_2,edge
Log-Sum-Exponential Estimator,Off-Policy Evaluation,used for
Log-Sum-Exponential Estimator,Off-Policy Learning,used for
Log-Sum-Exponential Estimator,Inverse Propensity Score Estimators,outperforms
Log-Sum-Exponential Estimator,Variance Reduction,demonstrates
Log-Sum-Exponential Estimator,Robustness,demonstrates
Off-Policy Evaluation,Bias Upper Bounds,derives
Off-Policy Evaluation,Variance Upper Bounds,derives
Off-Policy Learning,Regret Bounds,establishes
Regret Bounds,Convergence Rate,achieves
Convergence Rate,O(n^{-ϵ/(1+ϵ)}),equals
Logged Bandit Feedback Dataset,Context,contains
Logged Bandit Feedback Dataset,Action,contains
Logged Bandit Feedback Dataset,Propensity Score,contains
Logged Bandit Feedback Dataset,Feedback,contains
High Variance,Off-Policy Learning,challenges
Poor Quality Propensity Scores,Off-Policy Learning,challenges
Heavy-Tailed Reward Distributions,Off-Policy Learning,challenges
Off-policy learning,reinforcement learning (RL),is a subfield of
Off-policy evaluation (OPE),off-policy learning,is a perspective of
logged bandit feedback (LBF) dataset,off-policy learning,is used in
logged bandit feedback (LBF) dataset,interaction logs,represents
logged bandit feedback (LBF) dataset,context,records
logged bandit feedback (LBF) dataset,action,records
logged bandit feedback (LBF) dataset,propensity score,records
logged bandit feedback (LBF) dataset,feedback (reward),records
propensity score,logging policy,is the probability of action selection under
logged bandit feedback (LBF) dataset,recommendation systems,is used in
logged bandit feedback (LBF) dataset,personalized medical treatments,is used in
logged bandit feedback (LBF) dataset,personalized advertising campaigns,is used in
off-policy evaluation (OPE),off-policy learning (OPL),are two perspectives of the same setting
off-policy evaluation (OPE),LBF dataset,utilizes
off-policy evaluation (OPE),logging (behavioural) policy,utilizes data from
off-policy evaluation (OPE),inverse propensity score (IPS) weighting,uses estimator constructed via
off-policy evaluation (OPE),target policy,evaluates performance of
off-policy learning (OPL),estimator,leverages
off-policy learning (OPL),LBF dataset,leverages
off-policy learning (OPL),logging policy,learns improved policy with respect to
IPS estimator,off-policy evaluation (OPE),is proposed in
IPS estimator,off-policy learning (OPL),is proposed in
IPS estimator,significant variance,suffers from
IPS estimator with truncated ratio,IPS estimator,is an improved version of
IPS estimator with truncated propensity score,IPS estimator,is an improved version of
self-normalizing estimator,IPS estimator,is an improved version of
exponential smoothing (ES) estimator,IPS estimator,is an improved version of
implicit exploration (IX) estimator,IPS estimator,is an improved version of
power-mean (PM) estimator,IPS estimator,is an improved version of
