node_1,node_2,edge
Bayesian optimization,acquisition functions,depends on
acquisition functions,sample efficiency,determines
FunBO,acquisition functions,discovers new
FunBO,FunSearch,based on
FunSearch,Large Language Models,uses
FunBO,Large Language Models,uses
acquisition functions,computer code,written in
FunBO,objective functions,evaluates on
acquisition functions,global optimization benchmarks,evaluated on
acquisition functions,hyperparameter optimization tasks,evaluated on
FunBO,general-purpose AFs,outperforms
FunBO,transfer-learning algorithms,achieves competitive performance against
Bayesian optimization,surrogate model,has component
Bayesian optimization,acquisition function,has component
surrogate model,Gaussian Process,often given by
acquisition function,exploitation,balances
acquisition function,exploration,balances
Bayesian optimization,hyperparameter tuning,used in
Bayesian optimization,robotics,used in
Bayesian optimization,drug design,used in
Bayesian optimization,black-box functions,optimizes
Acquisition Function (AF),Exploitation,balances
Acquisition Function (AF),Exploration,balances
Exploitation,high score to likely optimal locations,assigns
Exploration,high score to regions with higher uncertainty,assigns
Acquisition Function (AF),identification of optimum,leads to
Expected Improvement (EI),general-purpose AF,is a
Upper Confidence Bound (UCB),general-purpose AF,is a
Probability of Improvement (PofI),general-purpose AF,is a
general-purpose AFs,Bayesian Optimization (BO) algorithms,used across
general-purpose AFs,objective functions,used across
AF performance,black-box functions,varies across
AF choice,ad-hoc decision,is an
entropy-based optimizers,alternative AFs,are
knowledge-gradient optimizers,alternative AFs,are
alternative AFs,"EI, UCB, PofI",outperform
alternative AFs,interpretable,are often
alternative AFs,hard to implement,are generally
alternative AFs,expensive to evaluate,are generally
