node_1,node_2,edge
self-supervised contrastive learning,negative pairs,constructed using
negative pairs,anchor image,constructed using
negative pairs,false negatives,can result in
false negatives,embeddings,falsely pushed apart
GLOFND,false negatives,identifies
GLOFND,threshold,learns
GLOFND,global detection,performs
global detection,local detection within mini-batch,contrasted with
GLOFND,computation cost,independent of dataset size
representation learning,downstream tasks,aims to learn representation for
self-supervised learning,image representation learning,achieves promising performance for
self-supervised learning,bimodal learning,extends to
self-supervised learning,semi-supervised learning,extends to
self-supervised learning,unlabeled data,exploits
self-supervised learning,general-purpose representations,acquires
general-purpose representations,robust performance,exhibit
general-purpose representations,transferability,exhibit
contrastive learning,self-supervised learning,is central to
contrastive learning,positive pairs,brings together embeddings of
contrastive learning,negative pairs,pushes apart embeddings of
contrastive learning,data augmentations,combined with
data augmentations,model invariance,improves
labeled data,hard to collect,is
model invariance,non-semantic variations,improves
instance discrimination,positive pairs,defines
positive pairs,augmented views,are defined as
negative pairs,sampling from whole dataset,generated by
negative pairs,false negatives,include
false negatives,semantically similar images,are incorrectly deemed negative for
false negatives,semantic information,cause model to discard
false negatives,contrastive learning representations,detrimentally impacts
false negatives,large-scale datasets,effect becomes more pronounced in
