node_1,node_2,edge
SMART-PC,Skeletal Model Adaptation,is a framework for
SMART-PC,Test-Time Training (TTT),is a method for
Test-Time Training (TTT),distribution shifts,addresses
SMART-PC,3D point cloud classification,enhances resilience to corruptions in
SMART-PC,geometric structure,leverages
SMART-PC,skeletal representations,predicts during pre-training
skeletal representations,robust geometric features,enables extraction of
SMART-PC,real-time adaptation,achieves by eliminating backpropagation
SMART-PC,BatchNorm statistics,updates only
SMART-PC,high frame-per-second rates,achieves
SMART-PC,state-of-the-art results,achieves on benchmark datasets
benchmark datasets,ModelNet40-C,includes
benchmark datasets,ShapeNet-C,includes
benchmark datasets,ScanObjectNN-C,includes
SMART-PC,ModelNet40-C,evaluated on
SMART-PC,ShapeNet-C,evaluated on
SMART-PC,ScanObjectNN-C,evaluated on
SMART-PC,MATE,outperforms
SMART-PC,state-of-the-art results,achieves
SMART-PC,accuracy,improves
SMART-PC,computational efficiency,improves
deep learning,classification of 3D point clouds,improves
distribution shifts,model performance,degrades
distribution shifts,environmental conditions,caused by
distribution shifts,sensor inaccuracies,caused by
LiDAR data,sensor inaccuracies,affected by
model performance,degradation,causes
vulnerability,autonomous navigation,challenging in
vulnerability,robotics,challenging in
pre-training,all potential scenarios,impractical for
robust methods,unsupervised test-time adaptation,essential for
Test-Time Training (TTT),classification,applied to
Test-Time Training (TTT),additional technique,employs
additional technique,pre-training,used during
additional technique,adaptation phase,leveraged during
network,unlabeled target data,utilizes
network,data distribution shifts,dynamically adjusts to
TTT approaches,2D image domain,explored in
TTT approaches,entropy-based regularization,explores
TTT approaches,updating BatchNorm statistics,explores
TTT approaches,self-supervised tasks,explores
these methods,3D point clouds,struggle when applied to
TTT techniques,3D data,specifically designed for
MATE framework,3D domain,notable work in
MATE framework,TTT for 3D point cloud classification,addresses
MATE,3D-specific approach,introduces
MATE,self-supervised paradigm,leverages
network,out-of-distribution (OOD) target data,adapted to
network,self-supervised task,solves
MATE,Skeletal Model Adaptation,also known as
Skeletal Model Adaptation,Robust Test-Time Training in Point Clouds,used for
