node_1,node_2,edge
equivariant neural networks,geometric invariance,incorporates
equivariant neural networks,computational efficiency,enhances
horizontal mirroring invariance,computer vision tasks,common in
mirror-symmetric features,mirror-antisymmetric features,complementary to
irreps of the flopping group,mirror-symmetric features,describes
linear layers,block-diagonal,decomposed into
block-diagonal decomposition,FLOPs,reduces
FLOPs,wall-clock time,reduces both
symmetry-aware architectures,computational efficiency,provides
Bitter Lesson,leveraging computation,emphasizes
Bitter Lesson,deep learning models,guiding principle for designing
deep learning models,simple models that scale well,should be
computer vision,Vision Transformer (ViT),led to model
domain knowledge,algorithms,can yield better utilization of computation
image symmetries,efficient computations,enable
equivariant neural networks,simple models that scale well,can be
vision problems,horizontal mirroring (flopping),invariant to
vision problems,rotations,partially invariant to
geometric invariance,neural network architecture,enforced by hard-coding symmetry in each layer
geometric invariance,neural network architecture,enforced in
symmetry,network layer,hard-coded in
weight sharing,symmetry,enforces
architectural symmetry constraints,parameter efficiency,improve
parameter efficiency,compute per parameter,comes at cost of more
rotation invariant ResNets,ordinary ResNets,outperformed in equal-parameter setting
invariant ResNets,training time,far exceeded that of ordinary ResNets
symmetry-induced weight sharing,trainable parameter,used in more computations
invariant neural networks,ordinary neural networks,can achieve comparable FLOPs per parameter
FLOP-efficient design,irreducible representations,enabled by parametrizing features using
irreducible representations,flopping group,of
