node_1,node_2,edge
grokking,delayed generalization,is characterized by
grokking,non-monotonic test loss behavior,is accompanied by
grokking,binary logistic classification task,is investigated in
grokking,critical point,arises near
gradient descent,implicit bias,has
logistic regression,grokking,can exhibit
training dataset,nearly linearly separable from the origin,is
strong noise,perpendicular directions,exists in
flat directions,loss landscape,exist in
flat directions,nearly zero gradient,have
training dynamics,quasi-stable solutions,linger near
grokking,interpolation threshold,occurs in proximity to
grokking,critical phenomena,is reminiscent of
intrinsic properties of data,training dynamics of neural networks,related to
training dynamics of neural networks,ability to generalize,influences
intrinsic properties of data,ability to generalize,related to
over-parameterized models,transformer architecture,based on
Large Language Models (LLMs),transformer architecture,based on
Large Language Models (LLMs),generalization,able to generalize despite exceeding interpolation threshold
interpolation threshold,number of parameters,exceeded by
number of network parameters,learning dynamics,affects
number of network parameters,generalization,affects
Grokking,transformer model,observed during training of
Grokking,modular arithmetic tasks,observed on
Grokking,perfect training accuracy,characterized by initial
Grokking,no generalization,characterized by initial
Grokking,perfect training accuracy,initially achieves
Grokking,no generalization,initially results in
Grokking,perfect generalization,transitions to
Grokking,critical point,caused by proximity to
over-fitting,undesirable property,is generally seen as
over-fitting,early stopping,originally dealt with using
memorization,learning,contrasted with
logistic binary classification,linear separator,goal of finding
linear separator,two Gaussians,separates
Gaussians,separation axis,well separated along
Gaussians,noise,contains noise in perpendicular directions
