node_1,node_2,edge
FlexTok,images,resamples into 1D token sequences of flexible length
FlexTok,1D token sequences,"projects 2D images into variable-length, ordered"
FlexTok,rectified flow model,uses as decoder
FlexTok,nested dropout,uses for training
FlexTok,autoregressive generation,evaluated in setting
FlexTok,GPT-style Transformer,uses for autoregressive generation
FlexTok,ImageNet,achieves FID < 2 across 8 to 128 tokens
FlexTok,LlamaGen,outperforms in partial sequence generation
Raster-scan 2D-grid tokenizer,FlexTok,compared with
class conditioning,FlexTok,can be satisfied with as few as 8 tokens
class conditioning,LlamaGen,requires all tokens regardless of complexity
FlexTok,GPT-style Transformer,uses
FlexTok,ImageNet,evaluated on
FlexTok,FID,achieves score
FlexTok,TiTok,outperforms
FlexTok,state-of-the-art methods,outperforms
FlexTok,text-conditioned image generation,supports
FlexTok,2D tokenization,relates to
FlexTok,next-token prediction,enables
next-token prediction,visual vocabulary,describes images in
number of tokens,complexity of the generation task,depends on
autoregressive image generation,FlexTok,is a method for
tokenization,computational cost,reduces
FlexTok,1D token sequences,uses flexible-length
2D-grid tokens,autoregressive decoding,used with
FlexTok,1D token sequences,resamples images into
FlexTok,flexible length,produces token sequences of
1D token sequences,autoregressive decoding,used with
2D grid tokens,autoregressive decoding,traditionally used with
2D grid tokens,spatial alignment,maintains
spatial alignment,original pixel patches,aligned with
representation size,image size,proportional to
representation size,image complexity,not dependent on
1D tokenization,computational benefits,demonstrated to improve
fewer tokens,high-level semantic concepts,captures
more tokens,intricate scene details,required to reconstruct
