node_1,node_2,edge
Zero-shot generalization,Vision-based reinforcement learning,is a goal in
Associative Latent DisentAnglement (ALDA),Zero-shot generalization,achieves
Associative Latent DisentAnglement (ALDA),Off-policy RL,builds on
Latent disentanglement,Reinforcement learning,is used in
Associative memory,Latent disentanglement,combined with to achieve zero-shot generalization
Data augmentation,Weak disentanglement,is a form of
Data augmentation,Zero-shot generalization,is not required for
Overfitting,Vision-based reinforcement learning,is a problem in
Data augmentation,Overfitting,prevents
data augmentation,training data,increases amount of
data augmentation,model overfitting,prevents
data augmentation,robustness to environment perturbations,increases
robot learning community,large models,trains at scale
large models,massive datasets,trained on
large models,generalization,hoped to achieve
data augmentation approaches,larger models,require
data augmentation approaches,more training data,require
data augmentation approaches,longer training times,require
data augmentation approaches,greater training instability,have
biological agents,data augmentation approaches,contrasted with
training instability,RL agents,must be dealt with care when training
biological agents,task variations,able to quickly adapt to
biological agents,environment perturbations,able to quickly adapt to
humans,primates,are examples of
biological intelligence,generalization,contributes to
neuroscience literature,representation learning,provides understanding of aspects related to
brain,neurons,contains
neurons,single factors of variation,represent
grid cells,euclidean spaces,represent
object-vector cells,distance to objects,represent
border cells,distance to borders,represent
disentangled representations,compositional generalization,theorized to facilitate
disentangled representation learning,robot learning,has not garnered much attention within
disentangled representation learning,RL,has not garnered much attention within
