node_1,node_2,edge
post-hoc explainability techniques,neural networks,applied to
provably sufficient explanations,neural network predictions,explain
provably sufficient explanations,neural network verification techniques,computed using
abstraction-refinement technique,provably sufficient explanations,efficiently computes
abstraction-refinement technique,original large neural network,abstracts
reduced network,original network,sufficient explanation of reduced network is also sufficient for
abstraction-refinement technique,verification process,speeds up
iterative refinement,network size,gradually increases
neural network predictions,provably sufficient explanations,enhances efficiency of obtaining
provably sufficient explanations,fine-grained interpretation,additionally provides
fine-grained interpretation,abstraction levels,across different
deep neural networks,black boxes,remain uninterpretable
classic additive feature attributions,LIME,such as
classic additive feature attributions,SHAP,such as
classic additive feature attributions,integrated gradients,such as
neural networks,near-linear behavior,assumed to exhibit
near-linear behavior,local region,in a
local region,interpreted instance,around the
Anchors,subset of input features,aims to compute
SIS,subset of input features,aims to compute
subset of input features,explanation,referred to as
smaller explanation,better interpretation,provides
minimality,explanation,of the
smaller explanation,better interpretation,assumed to provide
minimality of explanation,desired property,is
Anchors,probabilistic sampling,relies on
SIS,probabilistic sampling,relies on
probabilistic sampling,formally provable guarantees,lacks
neural network verification tools,explanations,produces
explanations,provably certified as sufficient,are
provably certified explanations,safety-critical domains,more suitable for
producing explanations,computationally expensive,is
large neural networks,computationally expensive,cause
neural network verification queries,NP-complete,were shown to be
neural network verification techniques,scalability,challenge for
minimal sufficient explanations,multiple verification queries,requires invoking
