node_1,node_2,edge
objects,affordances,"Objects and their affordances are intimately entangled, which is of interest for various fields including behavioural sciences, cognitive psychology, and Computer Vision communities."
objects,human poses,"Objects and human poses have a significant relationship, especially in the context of Computer Vision approaches synthesizing human poses and dynamics realistically."
affordances,human poses,"Human poses and affordances are interconnected, showcasing the relationship between how humans interact with objects based on their affordances."
3d objects,human interactions,"The exploration of inferring 3D objects and their poses solely from human interactions is discussed in this context, highlighting the relationship between human interactions and the inference of 3D objects."
human point cloud,unobserved object,"The generation of an unobserved object from a generic 3D human point cloud is explored in the context, indicating a relationship between human point cloud data and the generation of objects."
user,functionality,"Users imitating functionality, such as looking through a binocular, showcase a relationship between users and the functionalities they engage with."
cognitive representation,functional perspective,"The cognitive representation enriched with a functional perspective is discussed, indicating the relationship between cognitive representations and functional perspectives."
objects,affordances,"Objects and their affordances are intimately connected, influencing human perception and interaction with objects."
gibson,affordance,Gibson and colleagues introduced the concept of affordance
behavioural studies,centrality,Behavioural studies confirmed the centrality of the concept of affordance
kids' development,affordance,The concept of affordance plays a fundamental role in kids' development
computer vision,object function,Computer Vision understands that the function of an object complements its appearance
computer vision,object appearance,Computer Vision exploits the relationship between object function and appearance in tasks like human and object reconstruction
interaction analysis,object perspective,"Previous literature approaches interaction analysis from an object perspective, focusing on analyzing human interaction given an object"
object-centric priors,interaction analysis,Object-centric priors are built as part of interaction analysis
realistic grasps,object,Generating realistic grasps is dependent on the object
hand-object interactions,object,Reconstructing hand-object interactions involves analyzing interactions given an object
objects,functionality,"Objects induce functionality, leading to different human interactions like drinking or grasping actions"
human motion,human-centric problem,Analyzing human motion and behavior is naturally a human-centric problem
human interaction,functionality,Analyzing human interaction can suggest the kind of functionality it implies
new research direction,fundamental,Moving the first step in the new research direction poses a fundamental change in perspective
action,geometries,"Several geometries might fit the same action, indicating a relationship between action and geometries."
human body,information,"The human body complements information in several ways, suggesting a relationship between the human body and information."
physical relations,characteristic poses,"Physical relations and characteristic poses serve as valuable proxies for functionality, indicating a relationship between these two concepts."
body dynamics,functionality,"Body dynamics serve as valuable proxies for functionality, suggesting a relationship between body dynamics and functionality."
pose,solutions,"Given pose might fit several possible solutions, indicating a relationship between poses and solutions."
mind,natural one,"Our mind naturally comes to the most natural one indicated by observed behavior, suggesting a relationship between the mind and natural solutions."
contact region,insufficient,"Solely focusing on the contact region is insufficient in this new viewpoint, indicating a relationship between contact region and insufficiency."
gestalt psychology,reification principle,"The reification principle of Gestalt psychology highlights that 'the whole' arises from 'the parts' and their relation, suggesting a relationship between Gestalt psychology and reification principle."
hand grasps,binocular,"The hand grasps pop up a binocular in our mind, indicating a relationship between hand grasps and binocular."
human-centric perspective,human studies,"Moving to a human-centric perspective in human-object interaction is critical for human studies, suggesting a relationship between human-centric perspective and human studies."
human-centric perspective,daily-life applications,"Moving to a human-centric perspective in human-object interaction is critical for daily-life applications, indicating a relationship between human-centric perspective and daily-life applications."
systems,humans,"Modern systems for AR/VR and digital interaction are both centered on humans, suggesting a relationship between systems and humans."
ar/vr,digital interaction,Both AR/VR and digital interaction are mentioned as modern systems centered on humans in daily-life applications.
ar/vr,objects,AR/VR systems mentioned in the context manipulate objects that do not have a real-world counterpart.
objects,humans,Objects manipulated by AR/VR systems are connected to humans in the context.
